ésãÊñº,ïŸìñ,Ç∑Çµ,Ç®Ç…Ç¨ÇË•ÇªÇÃëº,í≤óùÉpÉì,Ç§Ç»Ç¨ÇÃÇ©ÇŒèƒÇ´,ÉTÉâÉ_,ÉRÉçÉbÉP,ÉJÉcÉåÉc,ìVÇ’ÇÁÅEÉtÉâÉC,ÇµÇ„Ç§Ç‹Ç¢,Ç¨ÇÂÇ§Ç¥,Ç‚Ç´Ç∆ÇË,ÉnÉìÉoÅ[ÉO,ó‚ìÄí≤óùêHïi,ÇªÇ§Ç¥Ç¢çﬁóøÉZÉbÉg
íπéÊés,12562,11681,4947,4926,2794,4318,1875,1525,10585,589,1650,1767,1208,13699,2184
èºç]és,13545,12254,4475,4121,2872,3929,2105,1337,9168,561,2098,1940,847,6444,782
â™éRés,16430,10884,4632,5829,1441,4616,1804,1679,9470,743,1827,2312,968,9678,4724
çLìáés,16279,14115,5245,5357,2176,6030,1936,1402,10540,719,1585,2749,1096,7285,3114
éRå˚és,16555,11569,4770,6902,1554,4205,1634,1500,13055,436,1847,2420,1116,9208,9470
ìøìáés,14719,13202,4615,4605,1825,4611,2125,2451,12219,771,2092,3186,1414,6952,5686
çÇèºés,13921,11877,4501,5002,1239,4385,2272,1752,10171,640,1893,2321,1105,6409,10291
èºéRés,13386,12991,4189,3272,1494,4557,1642,1413,10340,511,1728,1838,914,8665,9586
çÇímés,22293,14827,5379,6428,1743,5041,1821,1870,11856,473,1614,2272,1111,7342,9516
ïüâ™és,17094,11958,4422,4967,1507,3442,1251,1601,10891,493,2374,1627,934,6114,1058
ç≤âÍés,16052,11665,4280,7094,2061,4220,1278,1318,9794,1006,2063,1756,1192,10879,5716
í∑çËés,12360,11603,3646,3859,2618,3556,1770,1748,10392,567,2149,1868,1486,4637,3351
åFñ{és,19083,10660,4121,5238,1750,4190,1393,1319,11133,389,1958,1709,1405,8753,5382
ëÂï™és,15640,11438,3969,4321,1504,2778,1533,1466,11654,605,1822,1444,1096,8767,1212
ã{çËés,16563,10535,4385,4042,1682,3912,1128,1601,10238,412,2385,1441,1198,5721,2474
é≠éôìáés,16655,11968,4223,3465,2467,3461,1544,2021,8832,501,2241,2295,894,7416,5104
ìﬂîeés,24518,9035,5782,4156,800,3804,1353,2445,12003,354,1883,1429,2321,3131,2216
êÏçËés,22218,13227,6515,7450,1585,7077,2124,2125,11231,2043,1826,3820,1197,6978,2565
ëäñÕå¥és,15304,14295,5825,6505,2748,5012,1724,2231,12000,1564,1890,3336,1303,10003,4688
ïlèºés,15356,13890,5994,5889,2389,7302,2162,2371,12391,1237,3504,2264,1792,10853,9115
ç‰és,12476,14287,3771,4738,2792,4808,1997,1748,9732,994,1990,1426,976,8453,902
ñkã„èBés,17843,15245,4986,5101,1246,3748,1440,1444,11503,445,1784,2286,1072,6589,5956
